Конец 1 (подпись);Конец 1 тип;Конец 1 иконка;Конец 2 (подпись);Конец 2 тип;Конец 2 иконка;Связь;Направление;Достоверность
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Джесси Пинкман;Персонаж;Male;Партнёры по производству;Both;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Скайлер Уайт;Персонаж;Female;Муж / жена, отмывание денег;Both;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Сол Гудман;Персонаж;Male;Клиент — адвокат;Both;Confirmed
Сол Гудман;Персонаж;Male;Майк Эрмантраут;Персонаж;Male;Связал с «решалой»;ToEnd2;Tentative
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Густаво Фринг;Персонаж;Male;Нанят как повар;Both;Confirmed
Густаво Фринг;Персонаж;Male;Майк Эрмантраут;Персонаж;Male;Работодатель;Both;Confirmed
Густаво Фринг;Персонаж;Male;Лидия Родарт-Кантильо;Персонаж;Female;Канал поставок;Both;Confirmed
Лидия Родарт-Кантильо;Персонаж;Female;Метиламин (сырьё);Доказательство;Chemical;Поставляет сырьё;ToEnd2;Confirmed
Метиламин (сырьё);Доказательство;Chemical;Производство «голубого мета»;Событие;Incident;Используется в производстве;ToEnd2;Tentative
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Производство «голубого мета»;Событие;Incident;Организует;ToEnd2;Confirmed
Джесси Пинкман;Персонаж;Male;Производство «голубого мета»;Событие;Incident;Варит;ToEnd2;Confirmed
Производство «голубого мета»;Событие;Incident;Голубой метамфетамин;Доказательство;Drugs;Продукт;ToEnd2;Confirmed
Производство «голубого мета»;Событие;Incident;Суперлаборатория / фургон RV;Доказательство;Office Building;Место преступления;ToEnd2;Confirmed
Густаво Фринг;Персонаж;Male;Голубой метамфетамин;Доказательство;Drugs;Сбыт;ToEnd1;Tentative
Скайлер Уайт;Персонаж;Female;Деньги / автомойка A1;Доказательство;Money;Легализует;ToEnd2;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Деньги / автомойка A1;Доказательство;Money;Доход от продаж;ToEnd2;Confirmed
Густаво Фринг;Персонаж;Male;Гейл Боттикер;Жертва;Male;Нанял химиком;ToEnd2;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Убийство Гейла;Событие;Incident;Заказал устранение;ToEnd2;Confirmed
Джесси Пинкман;Персонаж;Male;Убийство Гейла;Событие;Incident;Исполнитель;ToEnd2;Confirmed
Убийство Гейла;Событие;Incident;Гейл Боттикер;Жертва;Male;Жертва;ToEnd2;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Отравление Брока;Событие;Incident;Организовал;ToEnd2;Confirmed
Отравление Брока;Событие;Incident;Рицин (капсула-яд);Доказательство;Poison;Орудие;ToEnd2;Confirmed
Отравление Брока;Событие;Incident;Брок Кантильо;Жертва;Male;Жертва;ToEnd2;Confirmed
Отравление Брока;Событие;Incident;Джесси Пинкман;Персонаж;Male;Манипуляция (подставил Гуса);ToEnd2;Tentative
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Взрыв — гибель Гуса;Событие;Explosion;Спланировал;ToEnd2;Confirmed
Гектор Саламанка;Персонаж;Male;Взрыв — гибель Гуса;Событие;Explosion;Привёл в действие бомбу;ToEnd2;Confirmed
Взрыв — гибель Гуса;Событие;Explosion;Густаво Фринг;Персонаж;Male;Гибель;ToEnd2;Confirmed
Хэнк Шрейдер;Детектив;Law Enforcement;Уолтер Уайт «Хайзенберг»;Персонаж;Male;Родство (зять);Both;Tentative
Хэнк Шрейдер;Детектив;Law Enforcement;Голубой метамфетамин;Доказательство;Drugs;Расследует источник;ToEnd2;Confirmed
Хэнк Шрейдер;Детектив;Law Enforcement;Густаво Фринг;Персонаж;Male;Подозревал;ToEnd2;Tentative
Книга «Leaves of Grass» («G.B.»);Доказательство;Document;Хэнк Шрейдер;Детектив;Law Enforcement;Улика: разоблачение Хайзенберга;ToEnd2;Confirmed
Уолтер Уайт «Хайзенберг»;Персонаж;Male;Книга «Leaves of Grass» («G.B.»);Доказательство;Document;Оставил книгу дома;ToEnd2;Confirmed
Гейл Боттикер;Жертва;Male;Книга «Leaves of Grass» («G.B.»);Доказательство;Document;Дарственная надпись «G.B.»;ToEnd2;Tentative
Хэнк Шрейдер;Детектив;Law Enforcement;Банда Джека;Организация;Group;Перестрелка;Both;Tentative
Банда Джека;Организация;Group;Гибель Хэнка;Событие;Incident;Исполнитель;ToEnd2;Confirmed
Гибель Хэнка;Событие;Incident;Хэнк Шрейдер;Детектив;Law Enforcement;Жертва;ToEnd2;Confirmed
