Идентификатор;Подпись;Тип сущности;Иконка i2;Описание
jane;Патрик Джейн;Детектив;Male;Консультант-менталист CBI, ведёт охоту на Red John
lisbon;Тереза Лисбон;Детектив;Female;Старший агент CBI
cho;Кимбелл Чо;Детектив;Male;Агент CBI
rigsby;Уэйн Ригсби;Детектив;Male;Агент CBI
vanpelt;Грейс Ван Пелт;Детектив;Female;Агент CBI
redjohn;Red John (Кровавый Джон);Преступник;Unknown Person;Серийный убийца, лидер тайной сети
blake;«Ассоциация Блейка»;Организация;Organisation;Тайная сеть сообщников Red John
mcallister;Томас Макаллистер (шериф);Подозреваемый;Male;Шериф — оказался Red John
bertram;Гейл Бертрам;Подозреваемый;Male;Директор CBI
kirkland;Боб Киркланд;Подозреваемый;Male;Агент Нацбезопасности
stiles;Брет Стайлз;Подозреваемый;Male;Лидер культа «Визуализируй»
haffner;Рэймонд Хаффнер;Подозреваемый;Male;Глава охранной фирмы
smith;Рид Смит;Подозреваемый;Male;Агент ФБР
partridge;Бретт Партридж;Подозреваемый;Male;Криминалист CBI
family;Семья Джейна (Анджела и Шарлотта);Жертва;Group;Жена и дочь Джейна, убиты Red John
e_provoke;Оскорбление Red John в эфире;Событие;Incident;Джейн публично унизил убийцу — спусковой крючок
e_murder;Убийство семьи Джейна;Событие;Incident;Месть Red John
e_mole;Крот Red John в CBI;Событие;Incident;Внутренний агент сети в бюро
e_handshake;Рукопожатие Джейна и убийцы;Событие;Incident;Личный контакт, ставший уликой памяти
e_final;Разоблачение и гибель Макаллистера;Событие;Incident;Финальная развязка арки
ev_smiley;Кровавый смайлик на стене;Доказательство;Symbol;Фирменный почерк убийцы
ev_poem;Стих У. Блейка «Tyger»;Доказательство;Document;Литературный ключ к личности Red John
ev_list;Список семи подозреваемых;Доказательство;Document;Перечень главных подозреваемых Джейна
ev_mark;Метка членов Ассоциации Блейка;Доказательство;Symbol;Опознавательный знак сети
ev_detail;Запомнившаяся деталь встречи;Доказательство;Note;Примета, которую Джейн вспомнил
