Конец 1 (подпись);Конец 1 тип;Конец 1 иконка;Конец 2 (подпись);Конец 2 тип;Конец 2 иконка;Связь;Направление;Достоверность
Патрик Джейн;Детектив;Male;Тереза Лисбон;Детектив;Female;Партнёры, доверие;Both;Confirmed
Тереза Лисбон;Детектив;Female;Кимбелл Чо;Детектив;Male;Руководит;Both;Confirmed
Тереза Лисбон;Детектив;Female;Уэйн Ригсби;Детектив;Male;Руководит;Both;Confirmed
Тереза Лисбон;Детектив;Female;Грейс Ван Пелт;Детектив;Female;Руководит;Both;Confirmed
Уэйн Ригсби;Детектив;Male;Грейс Ван Пелт;Детектив;Female;Личные отношения;Both;Tentative
Патрик Джейн;Детектив;Male;Оскорбление Red John в эфире;Событие;Incident;Спровоцировал;ToEnd2;Confirmed
Оскорбление Red John в эфире;Событие;Incident;Убийство семьи Джейна;Событие;Incident;Месть убийцы;ToEnd2;Confirmed
Red John (Кровавый Джон);Преступник;Unknown Person;Убийство семьи Джейна;Событие;Incident;Исполнитель;ToEnd2;Confirmed
Убийство семьи Джейна;Событие;Incident;Семья Джейна (Анджела и Шарлотта);Жертва;Group;Жертвы;ToEnd2;Confirmed
Патрик Джейн;Детектив;Male;Red John (Кровавый Джон);Преступник;Unknown Person;Личная охота (вендетта);Both;Confirmed
Убийство семьи Джейна;Событие;Incident;Кровавый смайлик на стене;Доказательство;Symbol;Оставлен почерк;ToEnd2;Confirmed
Red John (Кровавый Джон);Преступник;Unknown Person;Кровавый смайлик на стене;Доказательство;Symbol;Фирменный знак;ToEnd2;Confirmed
Бретт Партридж;Подозреваемый;Male;Кровавый смайлик на стене;Доказательство;Symbol;Первым изучил;ToEnd2;Tentative
Патрик Джейн;Детектив;Male;Стих У. Блейка «Tyger»;Доказательство;Document;Разгадал отсылку;ToEnd2;Confirmed
Стих У. Блейка «Tyger»;Доказательство;Document;Red John (Кровавый Джон);Преступник;Unknown Person;Ключ к личности;ToEnd2;Confirmed
Рукопожатие Джейна и убийцы;Событие;Incident;Патрик Джейн;Детектив;Male;Запомнил деталь;ToEnd2;Confirmed
Red John (Кровавый Джон);Преступник;Unknown Person;Рукопожатие Джейна и убийцы;Событие;Incident;Контакт;ToEnd2;Tentative
Запомнившаяся деталь встречи;Доказательство;Note;Томас Макаллистер (шериф);Подозреваемый;Male;Примета совпала;ToEnd2;Tentative
Патрик Джейн;Детектив;Male;Запомнившаяся деталь встречи;Доказательство;Note;Вспомнил;ToEnd2;Confirmed
Патрик Джейн;Детектив;Male;Список семи подозреваемых;Доказательство;Document;Составил список;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Томас Макаллистер (шериф);Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Гейл Бертрам;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Боб Киркланд;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Брет Стайлз;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Рэймонд Хаффнер;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Рид Смит;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Список семи подозреваемых;Доказательство;Document;Бретт Партридж;Подозреваемый;Male;В списке;ToEnd2;Confirmed
Red John (Кровавый Джон);Преступник;Unknown Person;«Ассоциация Блейка»;Организация;Organisation;Покровитель / лидер;ToEnd2;Confirmed
«Ассоциация Блейка»;Организация;Organisation;Гейл Бертрам;Подозреваемый;Male;Член сети;ToEnd2;Tentative
«Ассоциация Блейка»;Организация;Organisation;Боб Киркланд;Подозреваемый;Male;Член сети;ToEnd2;Tentative
«Ассоциация Блейка»;Организация;Organisation;Рэймонд Хаффнер;Подозреваемый;Male;Член сети;ToEnd2;Tentative
«Ассоциация Блейка»;Организация;Organisation;Рид Смит;Подозреваемый;Male;Член сети;ToEnd2;Tentative
Метка членов Ассоциации Блейка;Доказательство;Symbol;«Ассоциация Блейка»;Организация;Organisation;Опознавательный знак;ToEnd2;Confirmed
Крот Red John в CBI;Событие;Incident;«Ассоциация Блейка»;Организация;Organisation;Связан с сетью;ToEnd2;Tentative
Крот Red John в CBI;Событие;Incident;Грейс Ван Пелт;Детектив;Female;Крот — жених Ван Пелт;ToEnd2;Tentative
Томас Макаллистер (шериф);Подозреваемый;Male;Red John (Кровавый Джон);Преступник;Unknown Person;ОКАЗАЛСЯ Red John;ToEnd2;Confirmed
Патрик Джейн;Детектив;Male;Разоблачение и гибель Макаллистера;Событие;Incident;Вычислил и устранил;ToEnd2;Confirmed
Разоблачение и гибель Макаллистера;Событие;Incident;Томас Макаллистер (шериф);Подозреваемый;Male;Разоблачён;ToEnd2;Confirmed
Брет Стайлз;Подозреваемый;Male;Патрик Джейн;Детектив;Male;Манипуляции / помощь;ToEnd2;Tentative
Рид Смит;Подозреваемый;Male;Патрик Джейн;Детектив;Male;Курировал в ФБР;ToEnd2;Tentative
