id,classes
alice,UndergraduateStudent
bob,UndergraduateStudent
carol,MasterStudent
david,PhDStudent
eve,PhDStudent
frank,MasterStudent
prof_smith,Professor
prof_brown,Professor
lect_jones,Lecturer
admin_pavlov,AdministrativeStaff
cs_dept,Department
math_dept,Department
physics_dept,Department
eng_faculty,Faculty
sci_faculty,Faculty
ml101,GraduateCourse
db201,UndergraduateCourse
calc100,UndergraduateCourse
algo301,GraduateCourse
ai301,GraduateCourse
paper_ml,Article
paper_db,Article
book_ai,Book
ai_project,Project
robotics_project,Project
room_101,Classroom
lab_202,Lab
